"","specimen.id","population","sex","cohort","seeds","food_regime","girth","wingpadCS","wingpadPC1","wingpadPC2","wingpadPC3","wingpadPC4","txCS","txPC1"
"FC388_n05","FC388_n05","AC15","female",10,15,"high",3.5649053446225,3.6516745721952,0.0503745964634386,0.0230119590854999,-0.00172544731088459,0.0295644837373924,3.12524946553085,-0.0207191339494055
"FC389_n01","FC389_n01","FR14","male",32,24,"low",3.66586716976502,3.56567228338694,0.128220839006083,0.0145991793412942,0.0148011322427913,0.00771541216438189,2.81383363865102,-0.00473520705668483
"FC389_n02","FC389_n02","FR14","female",32,24,"low",3.34647979759218,3.77015448526845,0.0537710909956075,0.0176691441313048,-0.0337877557309851,0.0209278006613677,3.08337616255302,0.0200218042903131
"FC390_n02","FC390_n02","FR14","male",32,24,"low",3.30550378123664,3.63806113732308,-0.0152826853662498,0.0512273691774021,-0.0142846790969176,0.0024105788568228,2.95105710585962,-0.0327590968219427
"FC397_n01","FC397_n01","FR15","female",16,26,"high",3.83032140092991,4.01233335109828,-0.0569791605034511,0.0029178350120505,-0.0544760482797161,-0.00398524252948395,3.22760159719752,-0.00823650426699965
"FC397_n02","FC397_n02","FR15","male",16,26,"high",3.04498845862373,3.49004942847465,0.0374704924948799,-0.0891977328793313,-0.00553758556742789,-0.00192916760145115,2.73413913156563,0.0053380406280428
"FC399_n01","FC399_n01","KL","female",14,14,"low",4.03785296736634,3.86841284881142,0.0304946754266611,-0.0346388561110061,0.0252266896803911,-0.0131088547921685,3.33273640067271,0.0259159825943576
"FC399_n02","FC399_n02","KL","female",14,14,"low",3.6495833562817,3.72161491640996,0.0162919813607082,-0.0482821038799379,0.00331364310961682,0.0228375123873712,3.05633933823904,-0.0321545599875462
"FC399_n03","FC399_n03","KL","male",14,14,"low",3.60682021917524,3.69913666609295,0.0683737558812174,0.0175012929251936,-0.00114218579759626,-0.002448525804337,2.99734488497479,-0.00597739205162964
"FC399_n04","FC399_n04","KL","male",14,14,"low",3.58811824842561,3.64841462254401,-0.0575041893701903,0.0492537964913798,-0.00400456478111448,0.0443688597127879,3.00798606157226,0.0159020269204023
"FC399_n05","FC399_n05","KL","female",14,14,"low",3.80055972867034,4.12608580807669,-0.0999700403717155,-0.0428893158772541,0.00121613726884884,0.0160362420985544,3.23959620209024,0.0357052751799335
"FC402_n01","FC402_n01","PK15","female",43,25,"low",4.53141114884465,4.4370587424877,-0.115897534625602,0.0118618538202372,-0.013626414049344,0.0118152552401765,3.67384757182159,-0.00239447031662134
"FC402_n02","FC402_n02","PK15","female",43,25,"low",3.81282291962792,4.16393965953046,-0.0902852798568407,0.0692977572343175,-0.00792329988039952,-0.0122317764343448,3.42110722038445,-0.0247849677817018
"FC402_n03","FC402_n03","PK15","male",43,25,"low",3.79127300377569,3.95937154674924,-0.0861780236545774,0.0414435729438496,0.0631840930569136,0.0092756853856152,3.17587592625243,0.0243612205705154
"FC403_n02","FC403_n02","PK15","female",36,50,"high",3.83205904862083,3.92485885793066,0.0400768296616282,0.0551158432042865,0.000520578045263575,-0.0282256059494511,3.15744792733206,0.0558458473440638
"FC404_n01","FC404_n01","KL","female",25,10,"low",3.69256957743362,3.90160344243215,-0.00384683721942533,0.0532996176950195,0.0361278694078703,-0.0325928820524977,3.24065982878654,-0.0179353656631522
"FC405_n03","FC405_n03","PK15","male",16,32,"high",4.03847575081663,3.80091470201093,0.00567161325513928,0.045386270919204,0.0792936418423632,-0.0318801422610305,3.03061327280411,0.00840109400891988
"FC406_n01","FC406_n01","PK15","female",25,40,"high",3.80565876487884,3.78815750500011,0.0124774806661165,-0.061920954393477,0.00601717332073656,-0.0412593921950985,3.20885161568328,-0.000362731749979663
"FC406_n02","FC406_n02","PK15","male",25,40,"high",3.82164453174211,3.83707654836094,-0.0369130580406491,0.0140544978584817,0.0265509443708302,-0.0196313271882136,3.16598421713698,-0.0191672168495168
"FC408_n01","FC408_n01","PK15","male",26,10,"low",3.49459914799195,3.62077606344121,-0.0853066116278235,-0.0242029909425517,0.0267636807418286,0.00330210617395476,2.92079944135843,-0.0124280120116078
"FC408_n02","FC408_n02","PK15","male",26,10,"low",3.48407596209003,3.543689820873,0.00354295491317401,-0.0181128348835408,-0.00140049643330236,-0.00886879506326218,2.86899726191635,-0.0114984432973524
"FC408_n03","FC408_n03","PK15","male",26,10,"low",3.68945988082409,3.72356777787348,0.0430951046012742,-0.000187283957176464,0.0155655306415734,-0.0153230823660891,3.06208702854811,-0.031187156701547
"FC423_n01","FC423_n01","AC15","female",32,45,"high",4.74842618959864,4.00305065657143,0.00849831687451369,-0.0182868711254449,-0.00414789590651356,-0.0226729689238325,3.15552347236888,-0.0309750733957893
"FC435_n01","FC435_n01","PK13","female",34,15,"low",3.72864934924772,3.87048202212161,0.0074044595022446,0.026975857481453,-0.0424792089193977,-0.046218942756214,3.29434797372409,0.0343470158262597
"FC437_n01","FC437_n01","FR14","male",60,80,"high",3.33166433500588,3.73701316578009,-0.114842662244402,-0.00765902227060627,0.0252103408579011,0.0115657650024605,2.85459516916852,0.0178875614383554
"FC439_n01","FC439_n01","KL15","male",53,38,"low",3.28914250840276,3.41448977509752,-0.0131836639091361,-0.0194419851243549,-0.0563956509934116,-0.0416163410889874,2.9366070218851,0.01142479183746
"FC450_n01","FC450_n01","KL","female",22,10,"low",3.72053285888314,3.86671024833505,-0.0128491973660239,-0.00230085007818358,-0.0415683081367674,-0.0149396318578467,3.28546744487246,-0.00136640106602843
"FC454_n01","FC454_n01","FR15","female",66,33,"low",3.9970148592001,4.15185258200874,-0.00512897596723518,-0.0188214901530533,-0.0345438239702539,-0.0157399064954716,3.17547516485336,-0.0034459789622562
"FC454_n02","FC454_n02","FR15","female",66,33,"low",3.74353976374756,4.04742714746504,-0.0164436292504712,0.0466269283798467,-0.00787924608952477,-0.00102260282959351,3.19263619366528,0.00793071261600277
"FC454_n03","FC454_n03","FR15","male",66,33,"low",3.24290136875692,3.51764810222452,-0.0380915401458348,-0.05360308278135,-0.024316538159281,-0.0198427350880878,2.79285179882051,-0.0189913946821053
"FC454_n04","FC454_n04","FR15","male",66,33,"low",3.13705632289846,3.5521762454163,-0.0560112423100818,-0.0188573121077118,-0.0193829969530735,-0.00489547956966804,2.79208640442867,0.00691195202673201
"FC456_n01","FC456_n01","AC15","male",57,30,"low",3.08024512501452,3.45974493900654,0.0360615389479303,0.034756481646685,0.0090536148861072,-0.000379334008616875,2.73723601243689,-0.0041619415185798
