specimenID,population,stage,sex,morph,morph_sex,tissue,cohort,seeds,food_regime,plate,row,strip,well,rna_conc_ngul,A260_280,core_sample_number,kallisto_name,seq_date,read_filename,degraded,note,girth,wingCS,wingPC1,wingPC2,wingPC3,wingPC4,txCS,txPC1,wingpadCS,wingpadPC1,wingpadPC2,wingpadPC3,wingpadPC4
FC367_n08_dt,PK13,adult,f,LW,LWf,thorax,18,8,low,2,C,3,C3,275.6,2.18,S65,C3_S65,180824,180824/C3_S65_L002_R1_001.fastq.gz,,,4.19075572,12.3360121,-0.1012516,0.05952344,0.02260986,0.01567816,3.89147215,0.02833173,NA,NA,NA,NA,NA
FC367_n08_ov,PK13,adult,f,LW,LWf,gonad,18,8,low,2,C,4,C4,90.6,2.17,S73,C4_S73,180824,180824/C4_S73_L002_R1_001.fastq.gz,,,4.19075572,12.3360121,-0.1012516,0.05952344,0.02260986,0.01567816,3.89147215,0.02833173,NA,NA,NA,NA,NA
FC367_n09_dt,PK13,adult,f,SW,SWf,thorax,18,8,low,2,C,5,C5,215.1,2.18,S81,C5_S81,180824,180824/C5_S81_L002_R1_001.fastq.gz,,,4.19117649,8.9107472,0.13083125,0.03065179,0.02097981,-0.0059969,3.98925788,0.00448322,NA,NA,NA,NA,NA
FC367_n09_ov,PK13,adult,f,SW,SWf,gonad,18,8,low,2,C,6,C6,343,2.16,S89,C6_S89,180824,180824/C6_S89_L002_R1_001.fastq.gz,,,4.19117649,8.9107472,0.13083125,0.03065179,0.02097981,-0.0059969,3.98925788,0.00448322,NA,NA,NA,NA,NA
FC371_n01_dt,PK15,adult,m,LW,LWm,thorax,5,10,high,2,C,7,C7,193.7,2.18,S97,C7_S97,180824,180824/C7_S97_L002_R1_001.fastq.gz,,,3.1050039,8.87609768,-0.0735258,-0.0059567,-0.0101788,-0.0470426,3.34514915,0.02010191,NA,NA,NA,NA,NA
FC371_n01_te,PK15,adult,m,LW,LWm,gonad,5,10,high,2,C,8,C8,59.2,2.34,S105,C8_S105,180824,180824/C8_S105_L002_R1_001.fastq.gz,,,3.1050039,8.87609768,-0.0735258,-0.0059567,-0.0101788,-0.0470426,3.34514915,0.02010191,NA,NA,NA,NA,NA
FC371_n02_dt,PK15,L5,m,NA,NA,thorax,5,10,high,2,C,9,C9,84.6,2.26,S113,C9_S113,180824,180824/C9_S113_L002_R1_001.fastq.gz,,,3.04217125,NA,NA,NA,NA,NA,2.75544851,0.00858762,3.206237,0.02343892,8.15E-02,-0.0430397,-0.0513855
FC374_n06_dt,PK15,adult,m,SW,SWm,thorax,10,25,high,2,D,1,D1,248.1,2.17,S50,D1_S50,180824,180824/D1_S50_L002_R1_001.fastq.gz,,,3.87512061,8.94465839,0.1633077,0.07963417,0.04579096,-0.0005449,4.03817164,0.00262517,NA,NA,NA,NA,NA
FC375_n07_ov,PK15,adult,f,SW,SWf,gonad,30,10,low,2,D,10,D10,169.2,2.17,S122,D10_S122,180824,180824/D10_S122_L002_R1_001.fastq.gz,,,5.18347145,11.6780808,0.0069923,-0.0156237,-0.0259008,0.04811953,4.75861258,3.82E-05,NA,NA,NA,NA,NA
FC377_n11_dt,AC15,adult,m,SW,SWm,thorax,20,20,low,2,D,11,D11,318,2.17,S130,D11_S130,180824,180824/D11_S130_L002_R1_001.fastq.gz,,,3.40217577,7.46838936,0.17165069,-0.0415501,-0.0171959,-0.0183626,3.50234981,-0.0093625,NA,NA,NA,NA,NA
