"","specimen.id","population","morph","sex","morph.sex","cohort","seeds","food_regime","girth","wingCS","wingPC1","wingPC2","wingPC3","wingPC4","txCS","txPC1"
"FC398_n02","FC398_n02","KL","LW","female","LWf",20,10,"low",4.17911225950522,12.8566539277473,-0.138617050697744,-0.00215955739888497,-0.00371934294171297,-0.00207314506443539,4.0712903437765,-0.00501337541583612
"FC398_n03","FC398_n03","KL","LW","female","LWf",20,10,"low",4.56462193980924,14.3174271467116,-0.135966970166055,0.0222741837357526,-0.00161694117515002,0.0146628339227544,4.5656374369632,-0.0408023285347168
"FC399_n06","FC399_n06","KL","SW","female","SWf",14,14,"low",4.91338038817155,10.0696973214439,0.116949265487648,-0.0334118885515877,-0.0303981793731921,0.0373329455938371,4.40660405784794,0.0234891838175392
"FC399_n15","FC399_n15","KL","LW","female","LWf",14,14,"low",5.07526328226596,13.2689436203328,-0.120594265036631,0.0236173304404458,-0.0168971093933975,0.0134219043480342,4.46799516475089,-0.0118833374139037
"FC400_n03","FC400_n03","PK13","LW","female","LWf",33,18,"low",4.17792070259937,13.6112909141403,-0.142830610933458,0.00742174891058051,-0.0342215878094867,0.00398294003080723,4.43690307036337,-0.0193118997859431
"FC400_n05","FC400_n05","PK13","SW","male","SWm",33,18,"low",3.32860850608411,7.84761599589128,0.131129645779997,-0.0443667409706887,-0.0208849970064957,-0.0541264443726749,3.5223647519686,-0.0103813855639861
"FC403_n04","FC403_n04","PK15","SW","female","SWf",36,50,"high",5.04735669422069,10.3121293313553,0.0510935427346719,0.000366289973470733,-0.0356842431479424,-0.0216215089601158,4.29711531779634,-0.0209651797485995
"FC403_n22","FC403_n22","PK15","LW","female","LWf",36,50,"high",5.3204691026138,15.2477416553934,-0.135247793466802,0.000534480207738228,0.00454658576034489,-0.00675076901432676,4.95846088671305,0.00808999348820595
"FC405_n09","FC405_n09","PK15","LW","male","LWm",16,32,"high",NA,11.181284249818,-0.150986569560469,0.00936050944724143,-0.0156246533472374,-0.020314888685475,3.46931581977334,-0.0136960079033393
"FC406_n03","FC406_n03","PK15","SW","female","SWf",25,40,"high",4.54550527685088,9.06143400728145,0.148950769566671,-0.0566025687907648,-0.0311274663778636,0.052202889240124,4.14017912335948,-0.0131417398904524
"FC406_n04","FC406_n04","PK15","SW","female","SWf",25,40,"high",4.52642767625432,8.4397978115933,0.205288662192515,-0.000279446814284216,-0.00308017780638685,0.0355813842127359,4.12263877967475,0.0572073488924205
"FC407_n01","FC407_n01","KL15","SW","male","SWm",19,30,"high",3.74716317188639,8.34719755847775,0.11251992204208,-0.0718284403159097,-0.0181431492436226,-0.0550557786000805,3.79558543798016,0.00268684059028165
"FC407_n05","FC407_n05","KL15","SW","female","SWf",19,30,"high",5.20677529025829,11.4593091545501,0.00335674286907105,-0.171955337194826,0.166950397712084,0.0471895918152914,4.77790020926478,-0.0187562651983525
"FC407_n07","FC407_n07","KL15","SW","female","SWf",19,30,"high",5.44176709066956,12.3379744590294,-0.0207430834694006,-0.00665716647384649,-0.00601997300937377,0.00604306309099771,4.60528290866672,0.00341057252944437
"FC407_n16","FC407_n16","KL15","LW","male","LWm",19,30,"high",NA,12.9682169423988,-0.159070310156698,0.000145217173094682,0.00567875088180241,-0.013031920278023,3.97444177222115,-0.0356039801975318
"FC410_n02","FC410_n02","PK15","LW","female","LWf",20,10,"low",NA,13.8504775144767,-0.133524539498357,0.00613919952674852,-0.0123339233025654,0.0103266420888696,4.80493169935289,-0.0276072232282724
"FC411_n10","FC411_n10","KL15","SW","male","SWm",18,30,"high",3.96382371590318,8.11525379787706,0.15895893804629,0.058819354673576,0.041599415426567,-0.0211830019351266,3.81326623434746,-0.0213922468954748
"FC412_n01","FC412_n01","PK13","LW","male","LWm",34,15,"low",3.63431931650197,11.7918343736666,-0.138840215842191,0.0142698808263591,-0.0310409225307524,-0.00356615271162846,3.87303663049775,0.00690044876557457
"FC415_n02","FC415_n02","KL15","SW","female","SWf",35,15,"low",4.11163013162248,8.21150786247428,0.227697946072191,0.0741229328931441,0.00480120270338682,-0.00271564007463388,4.06004566401827,0.0649797943052793
"FC417_n01","FC417_n01","KL15","LW","male","LWm",28,40,"high",NA,13.2458354904386,-0.145423827442495,0.0222825170173439,-0.0107585342860503,-0.0143787786661972,4.19606677923488,-0.0236552367030761
"FC417_n05","FC417_n05","KL15","LW","male","LWm",28,40,"high",3.81787451933064,11.4160967782581,-0.123504833234334,0.0160779276779947,-0.0273180211975981,0.0144608715523708,3.96420676218465,-0.0447025405623495
"FC417_n13","FC417_n13","KL15","LW","female","LWf",28,40,"high",5.22917737521601,14.7481650201716,-0.124139931881702,0.013132620163084,-0.0201357562645734,0.000711617943837202,4.99004997886638,-0.00687219480144419
"FC417_n18","FC417_n18","KL15","LW","female","LWf",28,40,"high",5.14192550667423,15.7835540986599,-0.131420725127035,0.01375275617732,-0.0109162155133321,0.00960514718948507,5.06719412612379,0.00957554469541932
"FC420_n02","FC420_n02","AC15","LW","male","LWm",20,35,"high",NA,12.5388500470146,-0.154615064816605,-0.0195648259218737,-0.00701793980542737,-0.0261993429986533,3.82443762184366,-0.0528963454693248
"FC422_n05","FC422_n05","FR14","LW","male","LWm",28,36,"high",NA,12.8795446957302,-0.164842709881036,-0.00437970573127388,0.00780769352625428,-0.0180740056627861,4.06329483778961,-0.0212581024084349
"FC422_n16","FC422_n16","FR14","LW","female","LWf",28,36,"high",4.46955854047189,13.5914416446201,-0.138101448523162,0.0258365983423207,-0.0147782849064298,-0.00654926639313146,4.18691876612981,-0.0148732342858142
"FC424_n01","FC424_n01","FR14","LW","male","LWm",36,18,"low",3.92207481705289,13.1398622659318,-0.162116031915843,-0.00586830634248249,0.0104890270368581,-0.000992962533296202,3.90624701881224,0.00343334661648393
"FC424_n02","FC424_n02","FR14","SW","female","SWf",36,18,"low",4.53489972664669,8.7392918370793,0.170725782953706,-0.0735886296769126,-0.0420157990950908,0.00644243221500309,4.05309532736178,0.0101164755313892
"FC426_n02","FC426_n02","AC15","SW","male","SWm",29,15,"low",3.71742666662358,7.71726453549158,0.182753168187998,-0.0474839738113733,0.00254468591755753,-0.00844303447167138,3.66309807506604,-0.022495428972092
"FC428_n01","FC428_n01","AC15","LW","male","LWm",26,36,"high",3.63010287010149,10.9315410623703,-0.0942589492663975,9.49598172301756e-05,0.00130898475319098,0.00982585816615577,3.71020790028647,-0.0463788120120837
"FC428_n17","FC428_n17","AC15","LW","female","LWf",26,36,"high",4.42302908839676,13.0479377324117,-0.1401293531712,-0.00948303348713754,0.00461556431019443,0.0128338937969865,4.50723133821799,0.037000038154665
"FC431_n01","FC431_n01","FR14","SW","male","SWm",17,30,"high",3.40196109502327,7.02223787842807,0.165251567424232,-0.0626028230953074,-0.0258884722410049,-0.000139114712915603,3.28336850639676,-0.0194108988953445
"FC431_n07","FC431_n07","FR14","SW","female","SWf",17,30,"high",4.86891164920169,10.5824711199969,0.0668399731943857,-0.0464710665560403,-0.00356112234223256,0.00885302865220397,4.33834716158808,0.0452681205347129
"FC431_n08","FC431_n08","FR14","LW","female","LWf",17,30,"high",4.30766437169835,12.0229370608613,-0.114161912979836,-0.00490750079999539,-0.00889785574586748,0.00893760312176413,3.87198100530534,-0.0387278073888791
"FC435_n04","FC435_n04","PK13","LW","male","LWm",34,15,"low",3.50691805502724,11.689496448376,-0.149669415696912,-0.00361011682430115,0.00400747590107855,0.00349708744442454,3.93380332354521,-0.0112815598197471
"FC437_n03","FC437_n03","FR14","SW","male","SWm",60,80,"high",3.85531950525071,9.10689819069226,0.0969449335923948,-0.0388131331063049,-0.0200912323156595,-0.019277319881985,3.85102704504045,0.00420975725605262
"FC439_n07","FC439_n07","KL15","SW","female","SWf",53,38,"low",4.58701606710811,9.83983932111203,0.131741463920857,-0.030814238521451,-0.00347265296955456,-0.0131180792225078,4.34706267401733,-0.00396682751863223
"FC439_n08","FC439_n08","KL15","SW","female","SWf",53,38,"low",4.75852886771662,8.81803338129378,0.196578408383041,-0.0230269348141637,-0.0699613032235001,0.00760636644524028,4.31344818272888,0.0272542702961018
